Cost (Binned),Material,Shipping Delay (Days),Size,Noisy,Rating (Stars)
$25 - $50,Plastic,1,Medium,No,4 -- 5
$10 - $25,Plastic,3,Medium,No,3 -- 4
$25 - $50,Wood,4,Large,No,4 -- 5
$50 - $100,Glass,0,Small,No,4 -- 5
$100 - $200,Wax,3,Large,No,3 -- 4
$100 - $200,Glass,3,Large,Yes,4 -- 5
$10 - $25,Paper,0,Extra Large,Yes,4 -- 5
$100 - $200,Plastic,1,Tiny,No,3 -- 4
$10 - $25,Wood,1,Small,No,1 -- 2
$100 - $200,Wood,1,Extra Large,No,3 -- 4
$25 - $50,Glass,0,Small,Yes,4 -- 5
$50 - $100,Metal,2,Small,Yes,0 -- 1
$200 +,Glass,1,Large,No,4 -- 5
$25 - $50,Metal,1,Medium,No,3 -- 4
$50 - $100,Wood,4,Large,No,4 -- 5
$25 - $50,Wax,1,Large,No,0 -- 1
$50 - $100,Paper,0,Small,Yes,3 -- 4
$10 - $25,Wood,0,Small,No,4 -- 5
$25 - $50,Plastic,0,Small,Yes,0 -- 1
$50 - $100,Metal,1,Large,Yes,3 -- 4
$0 - $10,Glass,0,Small,Yes,4 -- 5
$25 - $50,Paper,0,Medium,No,3 -- 4
$100 - $200,Metal,3,Medium,No,3 -- 4
$10 - $25,Wood,2,Medium,Yes,2 -- 3
$50 - $100,Wood,2,Small,No,1 -- 2
$50 - $100,Wax,3,Small,No,3 -- 4
$25 - $50,Wax,6,Small,No,3 -- 4
$50 - $100,Wood,0,Large,No,4 -- 5
$50 - $100,Wood,0,Extra Large,No,3 -- 4
$10 - $25,Wood,0,Medium,Yes,3 -- 4
$10 - $25,Paper,1,Small,No,4 -- 5
$25 - $50,Glass,2,Small,Yes,1 -- 2
$100 - $200,Metal,1,Small,Yes,4 -- 5
$0 - $10,Wax,2,Large,No,1 -- 2
$25 - $50,Plastic,2,Small,No,2 -- 3
$100 - $200,Glass,0,Medium,No,4 -- 5
$200 +,Metal,0,Medium,No,3 -- 4
$25 - $50,Glass,3,Small,No,1 -- 2
$25 - $50,Paper,5,Large,No,3 -- 4
$50 - $100,Plastic,0,Large,No,4 -- 5
$100 - $200,Wood,0,Small,No,3 -- 4
$50 - $100,Metal,5,Small,No,4 -- 5
$50 - $100,Metal,2,Large,No,3 -- 4
$50 - $100,Glass,4,Large,Yes,0 -- 1
$25 - $50,Plastic,2,Large,No,3 -- 4
$200 +,Paper,0,Tiny,Yes,0 -- 1
$10 - $25,Glass,4,Small,No,4 -- 5
$100 - $200,Plastic,2,Tiny,Yes,4 -- 5
$10 - $25,Wax,0,Extra Large,No,2 -- 3
$25 - $50,Wood,2,Medium,Yes,3 -- 4
$50 - $100,Metal,0,Large,No,2 -- 3
$25 - $50,Plastic,0,Medium,No,0 -- 1
$100 - $200,Metal,1,Small,No,4 -- 5
$25 - $50,Glass,3,Small,No,3 -- 4
$0 - $10,Plastic,0,Small,No,0 -- 1
$25 - $50,Paper,2,Medium,Yes,2 -- 3
$50 - $100,Plastic,0,Medium,Yes,3 -- 4
$50 - $100,Wax,0,Small,No,4 -- 5
$100 - $200,Plastic,2,Large,No,2 -- 3
$0 - $10,Metal,2,Tiny,No,2 -- 3
$100 - $200,Paper,4,Small,Yes,4 -- 5
$100 - $200,Wood,0,Medium,No,2 -- 3
$25 - $50,Paper,5,Small,No,3 -- 4
$0 - $10,Glass,5,Large,No,4 -- 5
$10 - $25,Plastic,0,Tiny,No,2 -- 3
$25 - $50,Wood,2,Tiny,No,3 -- 4
$25 - $50,Metal,1,Medium,No,3 -- 4
$50 - $100,Wood,2,Extra Large,Yes,3 -- 4
$25 - $50,Glass,2,Small,No,3 -- 4
$10 - $25,Glass,1,Large,No,2 -- 3
$10 - $25,Metal,3,Small,No,1 -- 2
$50 - $100,Plastic,1,Medium,No,4 -- 5
$50 - $100,Wood,0,Medium,Yes,2 -- 3
$0 - $10,Paper,0,Medium,No,3 -- 4
$10 - $25,Plastic,1,Large,No,4 -- 5
$200 +,Paper,2,Medium,No,4 -- 5
$50 - $100,Paper,3,Small,No,1 -- 2
$25 - $50,Wood,5,Large,No,4 -- 5
$25 - $50,Wood,3,Medium,No,1 -- 2
$0 - $10,Metal,0,Medium,No,3 -- 4
$25 - $50,Metal,4,Small,No,4 -- 5
$50 - $100,Wood,0,Large,Yes,4 -- 5
$100 - $200,Glass,0,Medium,No,4 -- 5
$200 +,Plastic,2,Medium,No,2 -- 3
$0 - $10,Metal,1,Medium,No,4 -- 5
$25 - $50,Metal,1,Large,No,2 -- 3
$10 - $25,Metal,0,Tiny,No,3 -- 4
$0 - $10,Wax,3,Extra Large,No,3 -- 4
$100 - $200,Wax,0,Medium,No,2 -- 3
$10 - $25,Glass,1,Medium,No,0 -- 1
$0 - $10,Glass,0,Small,No,3 -- 4
$0 - $10,Wax,2,Large,Yes,4 -- 5
$0 - $10,Paper,3,Medium,No,2 -- 3
$100 - $200,Glass,2,Small,Yes,0 -- 1
$200 +,Wax,3,Medium,No,2 -- 3
$100 - $200,Paper,6,Large,No,1 -- 2
$100 - $200,Wax,1,Small,No,3 -- 4
$25 - $50,Wax,1,Small,Yes,4 -- 5
$25 - $50,Glass,2,Medium,No,3 -- 4
$50 - $100,Metal,3,Medium,Yes,0 -- 1
